index,date
2870 ,2021-01-08
2885 ,2021-01-15
2869 ,2021-01-22
2862 ,2021-01-29
2885 ,2021-02-05
2826 ,2021-02-10
2876 ,2021-02-19
2775 ,2021-02-26
2722 ,2021-03-05
2638 ,2021-03-12
2584 ,2021-03-19
2571 ,2021-03-26
2585 ,2021-04-02
2652 ,2021-04-09
2833 ,2021-04-16
2980 ,2021-04-23
3101 ,2021-04-30
3095 ,2021-05-07
3343 ,2021-05-14
3433 ,2021-05-21
3496 ,2021-05-28
3613 ,2021-06-04
3704 ,2021-06-11
3748 ,2021-06-18
3785 ,2021-06-25
3905 ,2021-07-02
3932 ,2021-07-09
4054 ,2021-07-16
4100 ,2021-07-23
4196 ,2021-07-30
4226 ,2021-08-06
4282 ,2021-08-13
4340 ,2021-08-20
4386 ,2021-08-27
4503 ,2021-09-03
4568 ,2021-09-10
4623 ,2021-09-17
4644 ,2021-09-24
4614 ,2021-09-30
4648 ,2021-10-08
4588 ,2021-10-15
4583 ,2021-10-22
4567 ,2021-10-29
4536 ,2021-11-05
4554 ,2021-11-12
4555 ,2021-11-19
4602 ,2021-11-26
4727 ,2021-12-03
4811 ,2021-12-10
4895 ,2021-12-17
4956 ,2021-12-24
5047 ,2021-12-31
5110 ,2022-01-07
5094 ,2022-01-14
5053 ,2022-01-21
5010 ,2022-01-28
4981 ,2022-02-11
4946 ,2022-02-18
4818 ,2022-02-25
4747 ,2022-03-04
4625 ,2022-03-11
4540 ,2022-03-18
4434 ,2022-03-25
4349 ,2022-04-01
4264 ,2022-04-08
4229 ,2022-04-15
4196 ,2022-04-22
4177 ,2022-04-29
4164 ,2022-05-06
4148 ,2022-05-13
4163 ,2022-05-20
4175 ,2022-05-27
4208 ,2022-06-02
4233 ,2022-06-10
4222 ,2022-06-17
4216 ,2022-06-24
4203 ,2022-07-01
4144 ,2022-07-08
4075 ,2022-07-15
3997 ,2022-07-22
3888 ,2022-07-29
3740 ,2022-08-05
3563 ,2022-08-12
3430 ,2022-08-19
3154 ,2022-08-26
2848 ,2022-09-02
2562 ,2022-09-09
2313 ,2022-09-16
2072 ,2022-09-23
1923 ,2022-09-30
1814 ,2022-10-14
1779 ,2022-10-21
1698 ,2022-10-28
1579 ,2022-11-04
1443 ,2022-11-11
1307 ,2022-11-18
1230 ,2022-11-25
1171 ,2022-12-02
1138 ,2022-12-09
1123 ,2022-12-16
1107 ,2022-12-23
1108 ,2022-12-30
1061 ,2023-01-06
1031 ,2023-01-13
1030 ,2023-01-20
1007 ,2023-02-03
995 ,2023-02-10
975 ,2023-02-17
947 ,2023-02-24
931 ,2023-03-03
907 ,2023-03-10
910 ,2023-03-17
908 ,2023-03-24
924 ,2023-03-31
957 ,2023-04-07
1034 ,2023-04-14
1037 ,2023-04-21
1000 ,2023-04-28
998 ,2023-05-05
983 ,2023-05-12
972 ,2023-05-19
983 ,2023-05-26
1029 ,2023-06-02
980 ,2023-06-09
934 ,2023-06-16
924 ,2023-06-21
954 ,2023-06-30
932 ,2023-07-07
979 ,2023-07-14
966 ,2023-07-21
1029 ,2023-07-28
1039 ,2023-08-04
1044 ,2023-08-11
1031 ,2023-08-18
1014 ,2023-08-25
1034 ,2023-09-01
999 ,2023-09-08
949 ,2023-09-15
912 ,2023-09-22
887 ,2023-09-29
892 ,2023-10-13
918 ,2023-10-20
1013 ,2023-10-27
1068 ,2023-11-03
1030 ,2023-11-10
1000 ,2023-11-17
993 ,2023-11-24
1011 ,2023-12-01
1032 ,2023-12-08
1094 ,2023-12-15
1255 ,2023-12-22
1760 ,2023-12-29
1897 ,2024-01-05
2206 ,2024-01-12
2240 ,2024-01-19
2179 ,2024-01-26
2218 ,2024-02-02
2166 ,2024-02-09
2110 ,2024-02-23
1979 ,2024-03-01
1886 ,2024-03-08
1773 ,2024-03-15
1733 ,2024-03-22
1731 ,2024-03-29
1745 ,2024-04-03
1757 ,2024-04-12
1770 ,2024-04-19
1941 ,2024-04-26
2306 ,2024-05-10
2521 ,2024-05-17
2703 ,2024-05-24
3045 ,2024-05-31
3185 ,2024-06-07
3379 ,2024-06-14
3476 ,2024-06-21
3714 ,2024-06-28
3734 ,2024-07-05
3675 ,2024-07-12
3542 ,2024-07-19
3448 ,2024-07-26
3333 ,2024-08-02
3254 ,2024-08-09
3281 ,2024-08-16
3098 ,2024-08-23
2963 ,2024-08-30
2727 ,2024-09-06
2511 ,2024-09-13
2366 ,2024-09-20
2135 ,2024-09-27
2063 ,2024-10-11
2062 ,2024-10-18
2185 ,2024-10-25
2303 ,2024-11-01
2332 ,2024-11-08
2252 ,2024-11-15
2160 ,2024-11-22
2234 ,2024-11-29
2256 ,2024-12-06
2384 ,2024-12-13
2390 ,2024-12-20
2460 ,2024-12-27
2505 ,2025-01-03
2291 ,2025-01-10
2131 ,2025-01-17
2045 ,2025-01-24
1897 ,2025-02-07
1759 ,2025-02-14
1595 ,2025-02-21
1515 ,2025-02-28
1436 ,2025-03-07
1319 ,2025-03-14
1293 ,2025-03-21
1357 ,2025-03-28
1393 ,2025-04-03
1395 ,2025-04-11
1371 ,2025-04-18
1348 ,2025-04-25
1341 ,2025-04-30
1345 ,2025-05-09
1479 ,2025-05-16
1586 ,2025-05-23
2073 ,2025-05-30
2240 ,2025-06-06
2088 ,2025-06-13
1870 ,2025-06-20
1862 ,2025-06-27
1763 ,2025-07-04
1733 ,2025-07-11
1647 ,2025-07-18
1593 ,2025-07-25
1551 ,2025-08-01
1490 ,2025-08-08
1460 ,2025-08-15
1415 ,2025-08-22
1445 ,2025-08-29
1444 ,2025-09-05
1398 ,2025-09-12
1198 ,2025-09-19
1115 ,2025-09-26
1160 ,2025-10-10
1310 ,2025-10-17
1403 ,2025-10-24
1551 ,2025-10-31
1495 ,2025-11-07
1451 ,2025-11-14
1394 ,2025-11-21
